E1,E2,E3,E4,E5,24-bit color
0.6517,0.1009,0.1498,0.0483,0.0492,16773825
0.6489,0.0502,0.203,0.0491,0.0488,16771788
0.051,0.4007,0.4002,0.0981,0.0499,16771288
0.304,0.0477,0.5034,0.0466,0.0983,16771278
0.0466,0.3516,0.4501,0.1011,0.0506,16770518
0.3015,0.0956,0.4518,0.0502,0.1009,16770510
0.751,0.0493,0.0483,0.0989,0.0524,16573101
0.0484,0.6508,0.152,0.099,0.0498,16380655
0.0502,0.5997,0.1974,0.1001,0.0527,16379885
0.0468,0.3012,0.4994,0.0986,0.0539,16377297
0.7015,0.0976,0.0501,0.1011,0.0496,16377266
0.3001,0.1493,0.3997,0.0527,0.0982,16376536
0.0506,0.25,0.5524,0.098,0.049,16376524
0.0496,0.2019,0.6026,0.0974,0.0484,16376006
0.8023,0.0461,0.0491,0.0499,0.0526,16375983
0.0512,0.149,0.6476,0.0992,0.0529,16374724
0.0492,0.7504,0.0508,0.0999,0.0497,16249583
0.0977,0.5497,0.199,0.1023,0.0513,16248293
0.5983,0.0512,0.1489,0.1018,0.0997,16248255
0.0516,0.5519,0.2528,0.0974,0.0463,16247528
0.0494,0.4978,0.3001,0.1044,0.0483,16247010
0.0488,0.4507,0.3512,0.0997,0.0496,16246240
0.3013,0.201,0.3478,0.0498,0.1,16245462
0.6485,0.1507,0.0483,0.102,0.0504,16244911
0.6551,0.0996,0.1005,0.0967,0.0481,16242349
0.0509,0.6482,0.1021,0.0467,0.1521,16053480
0.0483,0.7019,0.1003,0.097,0.0525,16052973
0.0529,0.7999,0.0495,0.0497,0.0481,16051690
0.0523,0.7002,0.05,0.0485,0.149,16051682
0.0973,0.4518,0.2992,0.1018,0.0499,16050395
0.601,0.2001,0.0993,0.0502,0.0494,16050374
0.5511,0.1978,0.1488,0.0535,0.0488,16050357
0.0981,0.4015,0.3535,0.0973,0.0497,16049627
0.5505,0.147,0.2021,0.0501,0.0503,16049589
0.5508,0.1013,0.25,0.0499,0.048,16049586
0.2476,0.1027,0.4991,0.0506,0.1,16047576
0.2996,0.2494,0.3017,0.0495,0.0999,16047566
0.0499,0.102,0.699,0.1004,0.0487,16047561
0.2468,0.1516,0.4511,0.0496,0.1009,16047059
0.1008,0.647,0.0515,0.148,0.0527,15921898
0.097,0.5983,0.1004,0.1509,0.0535,15921128
0.1033,0.5494,0.1471,0.1521,0.0481,15920613
0.1005,0.7054,0.0972,0.046,0.0508,15920613
0.0503,0.7533,0.1006,0.0485,0.0472,15919848
0.0499,0.5506,0.1976,0.1517,0.0501,15919845
0.1014,0.5012,0.1999,0.1489,0.0485,15919842
0.1,0.6457,0.1501,0.0505,0.0538,15919842
0.0474,0.5038,0.2509,0.1506,0.0473,15919333
0.0491,0.7015,0.1498,0.0502,0.0494,15919333
